,Node 1,,,,Node 2,,,,Node 3,,,,Node 4,,,,Node 5,,,,Node 6,,,,Node 7,,,,Node 8,,,,Node 9,,,
Time (s),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts)
1094.49291,23.92,49.71,100393,0.0032,23.24,53.16,100403,0,22.96,50.83,100390,0,23.56,47.12,100373,0,24.66,51.33,100299,0,23.47,61.85,100349,0.0071,23.7,50.62,100357,0.0036,22.94,51.85,100329,0,22.92,56.12,100286,0
1104.60901,23.92,49.66,100393,0,23.24,53.22,100404,0,22.96,50.72,100387,0,23.56,46.83,100371,0,24.65,51.4,100300,0,23.47,61.83,100348,0,23.7,50.65,100365,0.0036,22.94,51.49,100335,0,22.92,56.15,100294,0
1114.72499,23.91,49.76,100394,0.0032,23.24,53.16,100408,0,22.96,50.89,100395,0,23.55,46.86,100376,0,24.64,51.49,100303,0,23.47,61.84,100349,0,23.7,50.64,100363,0.0143,22.93,51.3,100336,0,22.92,56.15,100287,0
1124.84109,23.91,49.71,100398,0,23.23,53.19,100404,0,22.96,50.87,100390,0,23.55,47.16,100376,0,24.64,51.36,100304,0,23.47,61.8,100348,0,23.7,50.64,100362,0.0036,22.93,51.15,100337,0,22.92,56.11,100291,0
1134.956,23.9,49.79,100399,0.0032,23.23,53.21,100407,0,22.96,50.76,100395,0,23.55,46.96,100375,0,24.62,51.33,100306,0,23.47,61.87,100351,0,23.7,50.7,100363,0.0036,22.93,51.65,100336,0,22.92,56.11,100290,0
1145.0721,23.9,49.86,100396,0,23.24,53.13,100410,0,22.96,50.78,100393,0,23.55,46.91,100376,0,24.62,51.4,100300,0,23.47,61.85,100354,0.0106,23.7,50.62,100366,0.0143,22.93,51.46,100336,0,22.92,56.14,100292,0
1155.18796,23.89,49.94,100396,0,23.23,53.3,100405,0,22.96,50.75,100393,0,23.54,46.89,100373,0,24.61,51.32,100298,0,23.47,61.88,100349,0,23.7,50.67,100365,0.0143,22.93,51.44,100332,0,22.92,56.17,100287,0
1165.30394,23.88,49.8,100392,0.0032,23.23,53.17,100404,0,22.96,50.76,100391,0,23.54,46.95,100374,0,24.6,51.4,100298,0,23.46,61.85,100352,0,23.7,50.58,100365,0.0143,22.94,51.81,100333,0,22.92,56.11,100287,0
1175.41897,23.88,49.75,100392,0.0032,23.24,53.29,100405,0,22.96,50.82,100391,0,23.54,47.03,100372,0,24.59,51.35,100299,0,23.47,61.87,100350,0,23.7,50.65,100361,0.0143,22.93,51.81,100335,0,22.91,56.09,100287,0
1185.53602,23.87,49.87,100394,0.0032,23.23,53.2,100407,0,22.96,50.79,100391,0,23.54,47.13,100375,0,24.58,51.33,100296,0,23.47,61.84,100348,0,23.7,50.53,100363,0.0036,22.93,51.19,100335,0,22.92,56.1,100291,0
1195.652,23.87,49.59,100396,0.0032,23.23,53.16,100404,0,22.96,50.8,100392,0,23.53,47.15,100371,0,24.57,51.32,100298,0,23.47,61.82,100349,0,23.7,50.67,100359,0.0036,22.93,51.39,100332,0,22.91,56.15,100284,0
1205.76703,23.87,49.73,100388,0.0032,23.23,53.25,100400,0,22.96,50.79,100390,0,23.53,47.18,100371,0,24.56,51.33,100294,0,23.47,61.82,100347,0.0071,23.7,50.67,100359,0.0143,22.93,51.42,100329,0,22.91,56.13,100288,0
1215.88301,23.86,49.78,100394,0.0032,23.23,53.22,100404,0,22.96,50.82,100389,0,23.53,47.14,100371,0,24.55,51.4,100292,0,23.47,61.84,100346,0.0071,23.7,50.63,100358,0.0036,22.93,51.5,100333,0,22.91,56.11,100287,0
1225.99899,23.86,49.8,100390,0,23.23,53.11,100404,0,22.95,50.82,100390,0,23.52,47.06,100370,0,24.54,51.23,100295,0,23.47,61.85,100347,0,23.71,50.65,100360,0.0036,22.93,51.44,100333,0,22.91,56.08,100289,0
1236.11497,23.86,49.78,100392,0.0032,23.23,53.22,100406,0,22.96,50.82,100392,0,23.52,47.12,100372,0,24.52,51.4,100295,0,23.47,61.83,100350,0,23.7,50.58,100359,0.0036,22.93,51.28,100332,0,22.91,56.14,100285,0
1246.23107,23.86,49.77,100393,0.0032,23.23,53.22,100405,0,22.95,50.84,100388,0,23.52,47.21,100371,0,24.52,51.18,100298,0,23.47,61.83,100348,0,23.7,50.58,100362,0.0036,22.93,51.44,100334,0,22.91,56.1,100290,0
1256.34598,23.85,49.67,100392,0.0032,23.23,53.14,100404,0,22.95,50.82,100392,0,23.52,47.15,100372,0,24.51,51.41,100297,0,23.47,61.83,100348,0.0071,23.71,50.61,100359,0.0143,22.92,51.32,100331,0,22.91,56.09,100286,0
1266.46184,23.84,49.76,100392,0.0032,23.23,53.13,100404,0,22.95,50.81,100389,0,23.51,47.24,100369,0,24.5,51.36,100293,0,23.47,61.82,100344,0.0071,23.71,50.49,100360,0.0036,22.92,51.68,100330,0,22.91,56.15,100285,0
