,Node 1,,,,Node 2,,,,Node 3,,,,Node 4,,,,Node 5,,,,Node 6,,,,Node 7,,,,Node 8,,,,Node 9,,,
Time (s),Temperature (°C),Humidity (%),Pressure (Pa),TDS (Volts),Temperature (°C).1,Humidity (%).1,Pressure (Pa).1,TDS (Volts).1,Temperature (°C).2,Humidity (%).2,Pressure (Pa).2,TDS (Volts).2,Temperature (°C).3,Humidity (%).3,Pressure (Pa).3,TDS (Volts).3,Temperature (°C).4,Humidity (%).4,Pressure (Pa).4,TDS (Volts).4,Temperature (°C).5,Humidity (%).5,Pressure (Pa).5,TDS (Volts).5,Temperature (°C).6,Humidity (%).6,Pressure (Pa).6,TDS (Volts).6,Temperature (°C).7,Humidity (%).7,Pressure (Pa).7,TDS (Volts).7,Temperature (°C).8,Humidity (%).8,Pressure (Pa).8,TDS (Volts).8,R1,R2,R3,R4,R5,R6,R7,R8,R9
1094.49291,23.92,49.71,100393.0,0.0032,23.24,53.16,100403.0,0.0,22.96,50.83,100390.0,0.0,23.56,47.12,100373.0,0.0,24.66,51.33,100299.0,0.0,23.47,61.85,100349,0.0071,23.7,50.62,100357.0,0.0036,22.94,51.85,100329.0,0.0,22.92,56.12,100286.0,0.0,1.0651846706032189,0.0,0.0,0.0,0.0,2.3593833528383397,1.1981246744226428,0.0,0.0
1104.60901,23.92,49.66,100393.0,0.0,23.24,53.22,100404.0,0.0,22.96,50.72,100387.0,0.0,23.56,46.83,100371.0,0.0,24.65,51.4,100300.0,0.0,23.47,61.83,100348,0.0,23.7,50.65,100365.0,0.0036,22.94,51.49,100335.0,0.0,22.92,56.15,100294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1981246744226428,0.0,0.0
1114.72499,23.91,49.76,100394.0,0.0032,23.24,53.16,100408.0,0.0,22.96,50.89,100395.0,0.0,23.55,46.86,100376.0,0.0,24.64,51.49,100303.0,0.0,23.47,61.84,100349,0.0,23.7,50.64,100363.0,0.0143,22.93,51.3,100336.0,0.0,22.92,56.15,100287.0,0.0,1.0651846706032189,0.0,0.0,0.0,0.0,0.0,4.73721355629492,0.0,0.0
1124.84109,23.91,49.71,100398.0,0.0,23.23,53.19,100404.0,0.0,22.96,50.87,100390.0,0.0,23.55,47.16,100376.0,0.0,24.64,51.36,100304.0,0.0,23.47,61.8,100348,0.0,23.7,50.64,100362.0,0.0036,22.93,51.15,100337.0,0.0,22.92,56.11,100291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1981246744226428,0.0,0.0
1134.956,23.9,49.79,100399.0,0.0032,23.23,53.21,100407.0,0.0,22.96,50.76,100395.0,0.0,23.55,46.96,100375.0,0.0,24.62,51.33,100306.0,0.0,23.47,61.87,100351,0.0,23.7,50.7,100363.0,0.0036,22.93,51.65,100336.0,0.0,22.92,56.11,100290.0,0.0,1.0651846706032189,0.0,0.0,0.0,0.0,0.0,1.1981246744226428,0.0,0.0
1145.0721,23.9,49.86,100396.0,0.0,23.24,53.13,100410.0,0.0,22.96,50.78,100393.0,0.0,23.55,46.91,100376.0,0.0,24.62,51.4,100300.0,0.0,23.47,61.85,100354,0.0106,23.7,50.62,100366.0,0.0143,22.93,51.46,100336.0,0.0,22.92,56.14,100292.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5171239793415854,4.73721355629492,0.0,0.0
1155.18796,23.89,49.94,100396.0,0.0,23.23,53.3,100405.0,0.0,22.96,50.75,100393.0,0.0,23.54,46.89,100373.0,0.0,24.61,51.32,100298.0,0.0,23.47,61.88,100349,0.0,23.7,50.67,100365.0,0.0143,22.93,51.44,100332.0,0.0,22.92,56.17,100287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73721355629492,0.0,0.0
1165.30394,23.88,49.8,100392.0,0.0032,23.23,53.17,100404.0,0.0,22.96,50.76,100391.0,0.0,23.54,46.95,100374.0,0.0,24.6,51.4,100298.0,0.0,23.46,61.85,100352,0.0,23.7,50.58,100365.0,0.0143,22.94,51.81,100333.0,0.0,22.92,56.11,100287.0,0.0,1.0651846706032189,0.0,0.0,0.0,0.0,0.0,4.73721355629492,0.0,0.0
1175.41897,23.88,49.75,100392.0,0.0032,23.24,53.29,100405.0,0.0,22.96,50.82,100391.0,0.0,23.54,47.03,100372.0,0.0,24.59,51.35,100299.0,0.0,23.47,61.87,100350,0.0,23.7,50.65,100361.0,0.0143,22.93,51.81,100335.0,0.0,22.91,56.09,100287.0,0.0,1.0651846706032189,0.0,0.0,0.0,0.0,0.0,4.73721355629492,0.0,0.0
1185.53602,23.87,49.87,100394.0,0.0032,23.23,53.2,100407.0,0.0,22.96,50.79,100391.0,0.0,23.54,47.13,100375.0,0.0,24.58,51.33,100296.0,0.0,23.47,61.84,100348,0.0,23.7,50.53,100363.0,0.0036,22.93,51.19,100335.0,0.0,22.92,56.1,100291.0,0.0,1.0651846706032189,0.0,0.0,0.0,0.0,0.0,1.1981246744226428,0.0,0.0
